2026-02-24 15:06:10,369 | INFO | src.pipeline | Stage 1: LOAD started
2026-02-24 15:06:10,370 | ERROR | src.loader | Error loading file (Attempt 1): module 'signal' has no attribute 'SIGALRM'
2026-02-24 15:06:12,372 | ERROR | src.loader | Error loading file (Attempt 2): module 'signal' has no attribute 'SIGALRM'
2026-02-24 15:06:16,374 | ERROR | src.loader | Error loading file (Attempt 3): module 'signal' has no attribute 'SIGALRM'
2026-02-24 15:06:16,374 | CRITICAL | src.loader | Max retries reached. Aborting load.
2026-02-24 15:06:16,374 | CRITICAL | __main__ | Pipeline failed: module 'signal' has no attribute 'SIGALRM'2026-02-24 15:34:13,044 | INFO | src.pipeline | Stage 1: LOAD started
2026-02-24 15:34:13,044 | ERROR | src.loader | Error loading file (Attempt 1): module 'signal' has no attribute 'SIGALRM'
2026-02-24 15:34:15,045 | ERROR | src.loader | Error loading file (Attempt 2): module 'signal' has no attribute 'SIGALRM'
2026-02-24 15:34:19,046 | ERROR | src.loader | Error loading file (Attempt 3): module 'signal' has no attribute 'SIGALRM'
2026-02-24 15:34:19,047 | CRITICAL | src.loader | Max retries reached. Aborting load.
2026-02-24 15:34:19,047 | CRITICAL | __main__ | Pipeline failed: module 'signal' has no attribute 'SIGALRM'
2026-02-24 15:37:25,724 | WARNING | src.loader | signal.SIGALRM is unavailable on this platform; load timeout is disabled.
2026-02-24 15:37:25,725 | INFO | src.loader | Attempting to load file (Attempt 1)
2026-02-24 15:37:25,795 | INFO | src.loader | Successfully loaded file: C:\Users\MelchizedekTettehNar\OneDrive - AmaliTech gGmbH\Desktop\PII_Detection_Pipeline\data\customers_raw.csv (10 rows, 10 columns)
2026-02-24 15:37:53,189 | INFO | src.pipeline | Stage 1: LOAD started
2026-02-24 15:37:53,189 | WARNING | src.loader | signal.SIGALRM is unavailable on this platform; load timeout is disabled.
2026-02-24 15:37:53,189 | INFO | src.loader | Attempting to load file (Attempt 1)
2026-02-24 15:37:53,192 | INFO | src.loader | Successfully loaded file: C:\Users\MelchizedekTettehNar\OneDrive - AmaliTech gGmbH\Desktop\PII_Detection_Pipeline\data\customers_raw.csv (10 rows, 10 columns)
2026-02-24 15:37:53,192 | INFO | src.pipeline | Stage 1: LOAD completed successfully
2026-02-24 15:37:53,193 | CRITICAL | __main__ | Pipeline failed: 'charmap' codec can't encode character '\u2713' in position 0: character maps to <undefined>
2026-02-24 15:38:51,914 | INFO | src.pipeline | Stage 1: LOAD started
2026-02-24 15:38:51,915 | WARNING | src.loader | signal.SIGALRM is unavailable on this platform; load timeout is disabled.
2026-02-24 15:38:51,915 | INFO | src.loader | Attempting to load file (Attempt 1)
2026-02-24 15:38:51,918 | INFO | src.loader | Successfully loaded file: C:\Users\MelchizedekTettehNar\OneDrive - AmaliTech gGmbH\Desktop\PII_Detection_Pipeline\data\customers_raw.csv (10 rows, 10 columns)
2026-02-24 15:38:51,918 | INFO | src.pipeline | Stage 1: LOAD completed successfully
2026-02-24 15:38:51,918 | INFO | src.profiler | Stage 2: Profiling started
2026-02-24 15:38:51,942 | CRITICAL | __main__ | Pipeline failed: 'phone'
2026-02-24 15:39:29,836 | WARNING | src.loader | signal.SIGALRM is unavailable on this platform; load timeout is disabled.
